2
62
1 2 3
1 3 1
3 4 1
3 5 2
2 6 2
4 7 4
2 8 3
3 9 4
9 10 2
2 11 5
1 12 3
11 13 4
3 14 2
12 15 1
14 16 4
15 17 1
11 18 2
8 19 4
11 20 4
13 21 4
12 22 3
16 23 3
3 24 2
11 25 5
11 26 2
16 27 2
5 28 5
8 29 5
29 30 5
24 31 5
18 32 2
27 33 3
25 34 3
7 35 2
11 36 3
27 37 1
9 38 3
23 39 1
23 40 3
1 41 3
10 42 3
20 43 1
22 44 1
11 45 2
40 46 2
45 47 3
42 48 2
3 49 4
46 50 1
17 51 5
39 52 3
39 53 1
34 54 3
24 55 1
44 56 1
25 57 5
5 58 1
42 59 1
52 60 4
16 61 2
28 62 5
49
1 2 2
2 3 4
3 4 5
2 5 1
2 6 4
2 7 4
2 8 4
8 9 4
2 10 5
3 11 4
10 12 4
8 13 2
10 14 4
6 15 5
7 16 3
10 17 4
9 18 5
4 19 3
15 20 3
19 21 1
10 22 1
18 23 5
14 24 2
16 25 4
11 26 4
19 27 4
13 28 4
27 29 1
27 30 2
27 31 5
13 32 4
1 33 3
33 34 2
14 35 4
11 36 2
2 37 1
8 38 3
36 39 2
34 40 4
17 41 3
35 42 2
4 43 5
38 44 3
42 45 5
43 46 4
15 47 5
10 48 3
33 49 4
